s#,c#,grade
14895139,MT-12,94.8
33064306,EM-52,70.5
34459734,MT-17,67.3
16176552,DA-48,81.0
38246878,EM-35,78.6
30595926,AS-43,85.4
43735335,FL-93,83.5
19875306,CS-40,89.9
33147048,EE-67,80.2
47732306,CE-21,79.3
30439305,OE-02,89.5
45403211,MA-21,76.4
31443068,MV-57,55.3
35953816,CS-26,76.9
24596774,AS-31,84.5
26215266,CS-41,81.1
29606052,CS-17,85.0
30641032,FL-23,54.4
24474357,EE-14,68.3
34600222,MV-81,62.4
11818064,AS-47,75.8
18928784,LF-03,81.3
33151834,DA-27,87.0
33348164,OE-20,86.4
19885712,CS-43,87.8
15592189,AS-27,67.6
16145224,DA-69,64.7
38274721,ME-36,78.0
37923145,DA-72,80.2
39082797,CS-61,85.1
43155861,DA-11,85.5
32359300,ME-37,69.9
39169864,LF-04,88.8
49149710,DA-32,67.3
42780092,FL-14,76.2
34537397,FL-03,84.2
27955950,FL-65,82.2
29520082,CE-23,77.0
32478892,ME-01,81.3
27538306,EM-15,80.1
26625307,DA-49,90.4
13913874,DA-51,75.2
41571023,FL-56,68.6
43155861,FL-91,71.6
48331943,LW-07,71.1
47050994,DA-46,71.3
21624954,CS-49,67.3
36812927,FL-55,65.2
36507275,CS-63,86.6
23373188,FL-72,91.2
10741459,MA-17,86.3
11384533,MA-21,70.5
41707144,CE-42,86.4
43975993,AT-10,72.5
48226582,MA-04,56.9
12894826,CS-63,72.6
12102717,FL-49,68.1
38388400,EE-56,87.8
21336696,CS-28,68.8
40214249,CS-26,70.2
38642444,MT-08,72.0
30045868,ME-20,78.2
18626305,OE-01,63.0
14576520,AT-40,79.2
28029829,CS-24,69.2
27088768,DA-10,83.3
35025057,FL-47,60.4
12067491,HS-28,86.2
34426804,EM-25,78.6
32673770,HS-26,80.7
29118792,MA-16,81.3
37383525,AS-17,87.1
39652399,FL-54,63.7
18097272,MT-35,82.7
43478669,MA-05,57.5
43179752,FL-23,78.6
46484516,EE-18,86.2
43233683,ME-03,64.6
29118792,CE-31,89.8
18590278,CE-10,87.7
32049533,MT-53,78.4
30805769,CS-45,71.9
34675958,ME-57,66.2
23532446,DA-52,93.5
44134786,MA-15,83.4
36609505,EE-31,92.1
26175622,LW-08,88.6
14955704,MT-16,55.5
18980850,AS-17,72.2
47539465,CS-16,63.2
23537875,EE-23,66.2
23719453,CS-52,95.6
16212632,MT-09,92.6
36621575,MV-77,74.7
43030249,CE-20,98.5
32342245,LW-23,54.0
13849789,CS-28,89.9
37068462,FL-67,95.5
16550959,AS-10,61.6
38303194,FL-23,59.6
25772871,EE-77,61.7
40197983,DA-06,79.8
31665615,CS-22,69.4
38920765,EE-23,81.3
26620780,MV-28,74.9
31387964,FL-88,78.6
35532207,LF-13,76.9
18608441,MV-27,77.4
24062614,MV-79,97.0
13471444,AT-39,80.2
22010204,CS-27,95.6
16789585,EE-27,80.2
30838419,OE-30,79.5
39386722,MT-38,90.4
23679035,MV-22,91.9
12746763,MT-34,69.1
34361149,MA-09,86.5
35115530,MT-25,87.0
27323966,HS-13,57.9
19557428,LF-14,76.6
16125939,MV-75,69.5
40795534,FL-66,83.8
36454203,MA-02,92.1
33127342,ME-09,87.1
43843107,EM-60,76.9
44638514,CS-42,73.1
27517134,MA-16,89.4
43852163,FL-74,83.6
27097425,AT-36,81.4
44126003,EM-31,69.5
32708270,AS-42,90.9
14573363,ME-32,86.8
32905994,DA-49,80.9
36487932,EM-13,73.4
40486032,IE-07,95.7
39112422,ME-56,86.3
16341973,CS-61,68.7
42650414,MV-05,81.8
34522047,EE-22,81.6
11168172,CE-29,65.8
38356313,EE-72,81.5
30487217,ME-09,68.4
17381673,IE-07,72.0
21624954,EE-93,70.8
31516464,MT-38,76.0
48301504,EE-92
39797504,EE-73,57.9
20722917,EE-35,82.9
25694640,EM-23,84.9
12881319,LF-28,88.8
47732306,ME-05,81.1
46638371,EE-63,73.9
29770578,CS-22,84.2
28747696,EE-89,80.2
23689001,MA-18,63.1
35643363,HS-29,87.4
41960049,CE-50,84.9
48108579,CE-07,82.8
13939705,AS-56,62.2
48912236,LF-23,73.1
39467746,EM-67,73.7
39598833,MA-20,89.3
28335317,FL-61,82.1
19210917,LW-20,72.6
41070106,EM-06,69.8
27971212,MA-01,74.3
34220967,MA-19,84.5
31508605,MV-52,85.5
11307106,EM-32,87.3
31019540,MV-24,95.9
11898938,EE-90,67.0
23633921,MT-03,95.3
15921106,EE-16,92.3
11058734,CE-37,77.4
16402002,MT-29,91.7
34973579,ME-13,66.7
49604240,FL-93,96.1
45623235,AT-35,85.3
10885621,PH-06,67.6
33114654,AS-42,90.5
46361993,DA-35,65.1
36220048,FL-20,83.1
36925128,LF-04,73.9
20751725,AS-18,78.0
43363778,FL-95,78.6
40936921,CS-16,77.3
41430103,FL-35,84.1
48093924,EE-82,89.9
30803465,IE-04,64.5
26723329,DA-20,71.9
47761201,AT-51,76.5
38027567,DA-65,88.7
24849788,EM-11,80.3
39879257,EE-91,65.0
21228099,ME-25,89.3
15769251,MV-18,97.0
26770147,AT-14,73.6
36915718,LW-02,93.9
13446060,EM-19,63.0
33065155,PH-12,70.2
40120578,FL-10,79.4
39408924,CS-31,76.5
43068929,DA-07,81.1
19030015,CE-13,55.4
12912856,MV-70,88.6
24515219,AT-35,100.0
11331928,OE-01,66.0
17788763,AT-33,65.0
48226582,LW-02,93.0
10827065,DA-75,76.7
14803489,FL-04,81.8
11805281,CS-63,84.3
13694051,ME-05,82.2
24625918,CS-60,80.7
14370059,ME-33,80.0
45864963,MX-02,91.2
46420273,DA-19,74.4
20716692,HS-13,97.1
31391907,AT-41,84.4
18796247,CS-63,89.2
40101132,FL-11,73.2
37387184,OE-31,86.2
34221469,OE-29,57.4
45978482,MV-07,64.2
34725483,CE-09,82.1
48727591,EM-19,74.8
23353386,ME-39,54.1
31128236,LW-06,71.6
18189204,MT-45,73.2
37831403,LW-02,75.2
33678888,LW-24,57.1
39879257,LW-13,95.2
31721875,FL-06,76.3
24989348,MV-69,79.7
48495174,AT-24,72.4
40377990,DA-63,78.0
24160724,DA-18,91.9
30656361,MV-02,78.4
49287300,AS-33,94.5
27346564,CE-08,79.8
10047131,EM-18,77.3
13210133,DA-08,72.4
40984192,HS-23,71.7
28213209,LW-24,76.1
28952295,EE-50,77.5
41430803,DA-22,66.2
19011713,MV-30,73.9
36802033,EM-50,72.8
30852506,HS-06,68.7
18135260,MV-08,72.8
24743934,FL-12,72.4
45183589,ME-25,88.3
22224934,EE-40,84.2
17656128,ME-36,92.6
48852327,CE-09,69.1
20040569,EM-02,76.1
34139422,AS-56,74.3
36206795,AS-19,79.7
49442329,EE-59,75.9
28060492,EM-20,91.9
40197824,FL-05,74.4
44889459,AT-06,90.5
41351257,HS-24,72.8
18891169,MX-05,87.7
36860055,EE-04,76.0
23325720,OE-15,81.9
44911025,ME-21,84.1
16898524,PH-11,82.5
41087601,LW-01,72.9
27025898,MA-05,92.5
15046585,ME-57,76.6
21760521,DA-29,79.9
40201752,PH-09,57.8
16977279,MT-11,67.0
18590278,EE-97,73.2
35025057,LW-25,70.0
24999201,MA-13,79.6
29146451,IE-01,87.1
19393751,MV-71,69.2
17808430,MV-29,98.4
38592987,MA-05,84.8
43680336,LW-01,86.8
17203281,EM-21,84.0
47886462,MA-03,56.7
40718455,MX-05,64.6
20079263,ME-23,78.3
25313917,EM-10,67.9
13144392,DA-14,74.8
27332081,FL-59,65.5
37266859,FL-46,79.2
20139600,LF-07,98.1
38402103,DA-13,72.8
29597043,LW-27,65.1
37757286,FL-02,84.9
43321909,OE-17,58.3
17715420,LF-05,68.2
30007512,OE-27,80.6
41697701,AT-40,67.7
47886462,FL-60,87.7
34205652,DA-17,76.5
25674933,FL-60,86.3
35026739,ME-24,77.0
40859879,AS-49,92.8
13174743,MA-01,76.6
46604446,MV-65
11161317,ME-38,91.6
27224377,HS-19,95.5
23175786,LW-06,60.6
26292864,EE-66,81.3
30549610,CE-30,51.2
35002226,MT-32,76.0
32050676,CS-42,95.8
11053968,EM-33,82.1
23906511,CE-16,76.8
42943468,CE-08,75.1
21783538,CS-53,71.8
44366508,AT-09,88.6
47984879,ME-18,76.6
14114457,EM-61
39666781,LW-06,86.0
24206045,LF-34,82.9
27413247,FL-61,84.0
27484095,DA-09,97.1
11165784,CE-47,86.6
49049898,AS-43
14848625,EE-43,83.7
11752720,EE-31,64.6
14112152,TL-02,97.3
41657430,CS-32,69.5
14576520,HS-30,81.5
